------                           | -1                               | ------                           | NaN                              | <stmts>                          | No              | <returnStmt>                    
[                                | 13                               | TK_SQL                           | NaN                              | <optionalReturn>                 | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <returnStmt>                     | No              | <optionalReturn>                
b3c45                            | 13                               | TK_ID                            | NaN                              | <idList>                         | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <optionalReturn>                 | No              | <idList>                        
------                           | -1                               | eps                              | NaN                              | <more_ids>                       | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <idList>                         | No              | <more_ids>                      
]                                | 13                               | TK_SQR                           | NaN                              | <optionalReturn>                 | Yes             | ------                          
;                                | 13                               | TK_SEM                           | NaN                              | <returnStmt>                     | Yes             | ------                          
end                              | 14                               | TK_END                           | NaN                              | <function>                       | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <program>                        | No              | <otherFunctions>                
------                           | -1                               | eps                              | NaN                              | <otherFunctions>                 | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <otherFunctions>                 | No              | <otherFunctions>                
------                           | -1                               | ------                           | NaN                              | ROOT                             | No              | <program>                       
_main                            | 19                               | TK_MAIN                          | NaN                              | <mainFunction>                   | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <program>                        | No              | <mainFunction>                  
record                           | 20                               | TK_RECORD                        | NaN                              | <typeDefinition>                 | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <typeDefinitions>                | No              | <typeDefinition>                
#marks                           | 20                               | TK_RECORDID                      | NaN                              | <typeDefinition>                 | Yes             | ------                          
type                             | 21                               | TK_TYPE                          | NaN                              | <fieldDefinition>                | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <fieldDefinitions>               | No              | <fieldDefinition>               
real                             | 21                               | TK_REAL                          | NaN                              | <primitiveDatatype>              | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <fieldDefinition>                | No              | <primitiveDatatype>             
:                                | 21                               | TK_COLON                         | NaN                              | <fieldDefinition>                | Yes             | ------                          
maths                            | 21                               | TK_FIELDID                       | NaN                              | <fieldDefinition>                | Yes             | ------                          
;                                | 21                               | TK_SEM                           | NaN                              | <fieldDefinition>                | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <typeDefinition>                 | No              | <fieldDefinitions>              
type                             | 22                               | TK_TYPE                          | NaN                              | <fieldDefinition>                | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <fieldDefinitions>               | No              | <fieldDefinition>               
real                             | 22                               | TK_REAL                          | NaN                              | <primitiveDatatype>              | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <fieldDefinition>                | No              | <primitiveDatatype>             
:                                | 22                               | TK_COLON                         | NaN                              | <fieldDefinition>                | Yes             | ------                          
physics                          | 22                               | TK_FIELDID                       | NaN                              | <fieldDefinition>                | Yes             | ------                          
;                                | 22                               | TK_SEM                           | NaN                              | <fieldDefinition>                | Yes             | ------                          
type                             | 23                               | TK_TYPE                          | NaN                              | <fieldDefinition>                | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <moreFields>                     | No              | <fieldDefinition>               
