[                                | 12                               | TK_SQL                           | NaN                              | <outputParameters>               | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <funCallStmt>                    | No              | <outputParameters>              
c3b6                             | 12                               | TK_ID                            | NaN                              | <idList>                         | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <outputParameters>               | No              | <idList>                        
------                           | -1                               | eps                              | NaN                              | <more_ids>                       | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <idList>                         | No              | <more_ids>                      
]                                | 12                               | TK_SQR                           | NaN                              | <outputParameters>               | Yes             | ------                          
<---                             | 12                               | TK_ASSIGNOP                      | NaN                              | <outputParameters>               | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <stmt>                           | No              | <funCallStmt>                   
call                             | 12                               | TK_CALL                          | NaN                              | <funCallStmt>                    | Yes             | ------                          
_readMarks                       | 12                               | TK_FUNID                         | NaN                              | <funCallStmt>                    | Yes             | ------                          
with                             | 12                               | TK_WITH                          | NaN                              | <funCallStmt>                    | Yes             | ------                          
parameters                       | 12                               | TK_PARAMETERS                    | NaN                              | <funCallStmt>                    | Yes             | ------                          
[                                | 12                               | TK_SQL                           | NaN                              | <inputParameters>                | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <funCallStmt>                    | No              | <inputParameters>               
b2                               | 12                               | TK_ID                            | NaN                              | <idList>                         | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <inputParameters>                | No              | <idList>                        
------                           | -1                               | eps                              | NaN                              | <more_ids>                       | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <idList>                         | No              | <more_ids>                      
]                                | 12                               | TK_SQR                           | NaN                              | <inputParameters>                | Yes             | ------                          
;                                | 12                               | TK_SEM                           | NaN                              | <funCallStmt>                    | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <otherStmts>                     | No              | <stmt>                          
------                           | -1                               | ------                           | NaN                              | <otherStmts>                     | No              | <otherStmts>                    
b3c45                            | 13                               | TK_ID                            | NaN                              | <singleOrRecId>                  | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <assignmentStmt>                 | No              | <singleOrRecId>                 
------                           | -1                               | eps                              | NaN                              | <new_24>                         | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <singleOrRecId>                  | No              | <new_24>                        
------                           | -1                               | ------                           | NaN                              | <stmt>                           | No              | <assignmentStmt>                
<---                             | 13                               | TK_ASSIGNOP                      | NaN                              | <assignmentStmt>                 | Yes             | ------                          
c3b5                             | 13                               | TK_ID                            | NaN                              | <all>                            | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <factor>                         | No              | <all>                           
------                           | -1                               | eps                              | NaN                              | <B>                              | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <all>                            | No              | <B>                             
------                           | -1                               | ------                           | NaN                              | <term>                           | No              | <factor>                        
------                           | -1                               | ------                           | NaN                              | <arithmeticExpression>           | No              | <term>                          
------                           | -1                               | eps                              | NaN                              | <termPrime>                      | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <term>                           | No              | <termPrime>                     
------                           | -1                               | ------                           | NaN                              | <assignmentStmt>                 | No              | <arithmeticExpression>          
+                                | 13                               | TK_PLUS                          | NaN                              | <lowPrecedenceOperators>         | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <expPrime>                       | No              | <lowPrecedenceOperators>        
------                           | -1                               | ------                           | NaN                              | <arithmeticExpression>           | No              | <expPrime>                      
c3b6                             | 13                               | TK_ID                            | NaN                              | <all>                            | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <factor>                         | No              | <all>                           
------                           | -1                               | eps                              | NaN                              | <B>                              | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <all>                            | No              | <B>                             
------                           | -1                               | ------                           | NaN                              | <term>                           | No              | <factor>                        
------                           | -1                               | ------                           | NaN                              | <expPrime>                       | No              | <term>                          
------                           | -1                               | eps                              | NaN                              | <termPrime>                      | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <term>                           | No              | <termPrime>                     
------                           | -1                               | eps                              | NaN                              | <expPrime>                       | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <expPrime>                       | No              | <expPrime>                      
;                                | 13                               | TK_SEM                           | NaN                              | <assignmentStmt>                 | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <otherStmts>                     | No              | <stmt>                          
------                           | -1                               | ------                           | NaN                              | <otherStmts>                     | No              | <otherStmts>                    
------                           | -1                               | eps                              | NaN                              | <otherStmts>                     | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <otherStmts>                     | No              | <otherStmts>                    
return                           | 14                               | TK_RETURN                        | NaN                              | <returnStmt>                     | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <stmts>                          | No              | <returnStmt>                    
[                                | 14                               | TK_SQL                           | NaN                              | <optionalReturn>                 | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <returnStmt>                     | No              | <optionalReturn>                
b3c45                            | 14                               | TK_ID                            | NaN                              | <idList>                         | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <optionalReturn>                 | No              | <idList>                        
------                           | -1                               | eps                              | NaN                              | <more_ids>                       | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <idList>                         | No              | <more_ids>                      
]                                | 14                               | TK_SQR                           | NaN                              | <optionalReturn>                 | Yes             | ------                          
;                                | 14                               | TK_SEM                           | NaN                              | <returnStmt>                     | Yes             | ------                          
end                              | 15                               | TK_END                           | NaN                              | <function>                       | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <program>                        | No              | <otherFunctions>                
_readMarks                       | 17                               | TK_FUNID                         | NaN                              | <function>                       | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <otherFunctions>                 | No              | <function>                      
input                            | 17                               | TK_INPUT                         | NaN                              | <input_par>                      | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <function>                       | No              | <input_par>                     
parameter                        | 17                               | TK_PARAMETER                     | NaN                              | <input_par>                      | Yes             | ------                          
list                             | 17                               | TK_LIST                          | NaN                              | <input_par>                      | Yes             | ------                          
[                                | 17                               | TK_SQL                           | NaN                              | <input_par>                      | Yes             | ------                          
int                              | 17                               | TK_INT                           | NaN                              | <primitiveDatatype>              | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <dataType>                       | No              | <primitiveDatatype>             
------                           | -1                               | ------                           | NaN                              | <parameter_list>                 | No              | <dataType>                      
------                           | -1                               | ------                           | NaN                              | <input_par>                      | No              | <parameter_list>                
b7                               | 17                               | TK_ID                            | NaN                              | <parameter_list>                 | Yes             | ------                          
------                           | -1                               | eps                              | NaN                              | <remaining_list>                 | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <parameter_list>                 | No              | <remaining_list>                
]                                | 17                               | TK_SQR                           | NaN                              | <input_par>                      | Yes             | ------                          
output                           | 18                               | TK_OUTPUT                        | NaN                              | <output_par>                     | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <function>                       | No              | <output_par>                    
parameter                        | 18                               | TK_PARAMETER                     | NaN                              | <output_par>                     | Yes             | ------                          
list                             | 18                               | TK_LIST                          | NaN                              | <output_par>                     | Yes             | ------                          
[                                | 18                               | TK_SQL                           | NaN                              | <output_par>                     | Yes             | ------                          
record                           | 18                               | TK_RECORD                        | NaN                              | <constructedDatatype>            | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <dataType>                       | No              | <constructedDatatype>           
#marks                           | 18                               | TK_RECORDID                      | NaN                              | <constructedDatatype>            | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <parameter_list>                 | No              | <dataType>                      
------                           | -1                               | ------                           | NaN                              | <output_par>                     | No              | <parameter_list>                
b3c2                             | 18                               | TK_ID                            | NaN                              | <parameter_list>                 | Yes             | ------                          
------                           | -1                               | eps                              | NaN                              | <remaining_list>                 | Yes             | ------                          
